ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,Khoảng cách đường bộ km,khoang_cach_chim_bay_km,tinh_thanh_sau_sap_nhap,tinh_thanh,khoang_cach_chim_bay,Khoảng cách đường bộ,thời gian,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord
94530000,PGD Chợ Tân Bình,106.653496,10.7869763,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,5.0,3.650407866942258,TP. Hồ Chí Minh,,,,,94530000__90600000,90600000__94530000,"10.78698,106.65350__10.76976,106.68195","10.76976,106.68195__10.78698,106.65350"
94531000,PGD Hóc Môn,106.5932327,10.8876665,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,19.6,16.30268783030849,TP. Hồ Chí Minh,,,,,94531000__90600000,90600000__94531000,"10.88767,106.59323__10.76976,106.68195","10.76976,106.68195__10.88767,106.59323"
94532000,PGD Bàu Cát,106.640501,10.792999,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,7.2,5.213094284776203,TP. Hồ Chí Minh,,,,,94532000__90600000,90600000__94532000,"10.79300,106.64050__10.76976,106.68195","10.76976,106.68195__10.79300,106.64050"
94534000,PGD Lê Văn Sỹ,106.664652,10.796715,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,5.2,3.543409860880196,TP. Hồ Chí Minh,,,,,94534000__90600000,90600000__94534000,"10.79672,106.66465__10.76976,106.68195","10.76976,106.68195__10.79672,106.66465"
94600000,CN Đông Sài Gòn,106.771314,10.8465447,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,15.4,12.9684620791767,TP. Hồ Chí Minh,,,,,94600000__90600000,90600000__94600000,"10.84654,106.77131__10.76976,106.68195","10.76976,106.68195__10.84654,106.77131"
94630000,PGD Tô Ngọc Vân,106.7487842,10.8588784,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,14.3,12.30842562946925,TP. Hồ Chí Minh,,,,,94630000__90600000,90600000__94630000,"10.85888,106.74878__10.76976,106.68195","10.76976,106.68195__10.85888,106.74878"
94631000,PGD Nguyễn Duy Trinh,106.7743632,10.7885566,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,13.8,10.30904211529872,TP. Hồ Chí Minh,,,,,94631000__90600000,90600000__94631000,"10.78856,106.77436__10.76976,106.68195","10.76976,106.68195__10.78856,106.77436"
94632000,PGD Lê Văn Việt,106.7866377,10.8453187,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,18.7,14.18966269263876,TP. Hồ Chí Minh,,,,,94632000__90600000,90600000__94632000,"10.84532,106.78664__10.76976,106.68195","10.76976,106.68195__10.84532,106.78664"
94633000,PGD Đỗ Xuân Hợp,106.7687958,10.8279369,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,14.2,11.48215332952706,TP. Hồ Chí Minh,,,,,94633000__90600000,90600000__94633000,"10.82794,106.76880__10.76976,106.68195","10.76976,106.68195__10.82794,106.76880"
94700000,CN Thủ Đức,106.7575507,10.8576366,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,14.7,12.79357979178512,TP. Hồ Chí Minh,,,,,94700000__90600000,90600000__94700000,"10.85764,106.75755__10.76976,106.68195","10.76976,106.68195__10.85764,106.75755"
94730000,PGD Hiệp Phú,106.7819475,10.8443244,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,17.8,13.71307308533212,TP. Hồ Chí Minh,,,,,94730000__90600000,90600000__94730000,"10.84432,106.78195__10.76976,106.68195","10.76976,106.68195__10.84432,106.78195"
94731000,PGD METRO,106.7414503,10.8007134,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,9.0,7.35485344671,TP. Hồ Chí Minh,,,,,94731000__90600000,90600000__94731000,"10.80071,106.74145__10.76976,106.68195","10.76976,106.68195__10.80071,106.74145"
94733000,PGD Võ Văn Ngân,106.7723024,10.8518047,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,16.3,13.43981741955064,TP. Hồ Chí Minh,,,,,94733000__90600000,90600000__94733000,"10.85180,106.77230__10.76976,106.68195","10.76976,106.68195__10.85180,106.77230"
94800000,CN Bắc Sài Gòn,106.4923825,10.9717465,90600000,CN 3 Thành phố Hồ Chí Minh,106.6819475,10.7697554,34.7,30.54464718282332,TP. Hồ Chí Minh,,,,,94800000__90600000,90600000__94800000,"10.97175,106.49238__10.76976,106.68195","10.76976,106.68195__10.97175,106.49238"
