global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority
20864,20866,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90333000,PGD Vạn Phúc,106.7136198,10.8438678,8.23338191070296,TP. Hồ Chí Minh,209,64,"1 hr 45 min
98.7 km",98.7,1 hr 45 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90333000,90000000__90333000,"10.77051,106.70337__10.84387,106.71362","10.77051,106.70337__10.84387,106.71362",directed_pair_key_by_code,9.6,98.7,,1 hr 45 min,,11.9878,89.1,89.1,9.2812,SUSPECT_CHANGED,HIGH
20757,20759,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,90834000,PGD Văn Thánh,106.7142617,10.8017978,81.4207489217472,TP. Hồ Chí Minh,208,57,"13 min
3.7 km",3.7,13 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__90834000,88041000__90834000,"10.53842,107.40951__10.80180,106.71426","10.53842,107.40951__10.80180,106.71426",directed_pair_key_by_code,92.6,3.7,,13 min,,0.0454,-88.9,88.9,0.96,SUSPECT_CHANGED,HIGH
20760,20762,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,91000000,CN Nam Sài Gòn,106.7002387,10.739119,80.66041083950103,TP. Hồ Chí Minh,208,60,"16 min
6.9 km",6.9,16 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__91000000,88041000__91000000,"10.53842,107.40951__10.73912,106.70024","10.53842,107.40951__10.73912,106.70024",directed_pair_key_by_code,95.6,6.9,,16 min,,0.0855,-88.7,88.7,0.9278,SUSPECT_CHANGED,HIGH
19810,19812,88030000,PGD Nguyễn An Ninh,107.0898627,10.3656844,94230000,PGD Nguyễn Sơn,106.6259453,10.7820436,68.66475238775881,TP. Hồ Chí Minh,199,10,"21 min
17.3 km",17.3,21 min,part/output_part_199/ket_qua_tu_0_den_99.xlsx,original_output,ok,88030000__94230000,88030000__94230000,"10.36568,107.08986__10.78204,106.62595","10.36568,107.08986__10.78204,106.62595",directed_pair_key_by_code,106.0,17.3,,21 min,,0.2519,-88.7,88.7,0.8368,SUSPECT_CHANGED,HIGH
19580,19582,88000000,CN Bà Rịa - Vũng Tàu,107.0753056,10.3481944,88038000,PGD Long Điền,107.2164178,10.4169245,17.22258188166838,TP. Hồ Chí Minh,196,80,"1 hr 54 min
108 km",108.0,1 hr 54 min,part/output_part_196/ket_qua_tu_0_den_99.xlsx,original_output,ok,88000000__88038000,88000000__88038000,"10.34819,107.07531__10.41692,107.21642","10.34819,107.07531__10.41692,107.21642",directed_pair_key_by_code,19.4,108.0,,1 hr 54 min,,6.2708,88.6,88.6,4.567,SUSPECT_CHANGED,HIGH
20859,20861,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90237000,PGD Gò Dầu,106.626816,10.795744,8.820687979991853,TP. Hồ Chí Minh,209,59,"1 hr 48 min
99.3 km",99.3,1 hr 48 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90237000,90000000__90237000,"10.77051,106.70337__10.79574,106.62682","10.77051,106.70337__10.79574,106.62682",directed_pair_key_by_code,10.8,99.3,,1 hr 48 min,,11.2576,88.5,88.5,8.1944,SUSPECT_CHANGED,HIGH
20739,20741,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,90300000,CN Thủ Thiêm,106.7293726,10.7875464,79.31663420227441,TP. Hồ Chí Minh,208,39,"4 min
950 m",0.95,4 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__90300000,88041000__90300000,"10.53842,107.40951__10.78755,106.72937","10.53842,107.40951__10.78755,106.72937",directed_pair_key_by_code,89.4,0.95,,4 min,,0.012,-88.45,88.45,0.9894,SUSPECT_CHANGED,HIGH
20762,20764,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,91031000,PGD Trần Xuân Soạn,106.7055348,10.7517129,80.50423911202884,TP. Hồ Chí Minh,208,62,"23 min
8.9 km",8.9,23 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__91031000,88041000__91031000,"10.53842,107.40951__10.75171,106.70553","10.53842,107.40951__10.75171,106.70553",directed_pair_key_by_code,97.2,8.9,,23 min,,0.1106,-88.3,88.3,0.9084,SUSPECT_CHANGED,HIGH
17459,17461,16132000,PGD Thắng Lợi,106.6384466,20.8601613,16400000,CN Lê Chân,106.6724123,20.8541282,3.592519354734376,TP. Hải Phòng,175,59,"1 hr 40 min
92.8 km",92.8,1 hr 40 min,part/output_part_175/ket_qua_tu_0_den_99.xlsx,original_output,ok,16132000__16400000,16132000__16400000,"20.86016,106.63845__20.85413,106.67241","20.85413,106.67241__20.86016,106.63845",directed_pair_key_by_code,4.6,92.8,,1 hr 40 min,,25.8315,88.2,88.2,19.1739,SUSPECT_CHANGED,HIGH
20842,20844,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90037000,PGD Thành Thái,106.664006,10.7750228,4.329518276612206,TP. Hồ Chí Minh,209,42,"1 hr 32 min
94.7 km",94.7,1 hr 32 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90037000,90000000__90037000,"10.77051,106.70337__10.77502,106.66401","10.77051,106.70337__10.77502,106.66401",directed_pair_key_by_code,6.7,94.7,,1 hr 32 min,,21.8731,88.0,88.0,13.1343,SUSPECT_CHANGED,HIGH
20786,20788,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,92432000,PGD Cầu Sơn,106.7092691,10.8138851,82.41860143085601,TP. Hồ Chí Minh,208,86,"20 min
7.4 km",7.4,20 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__92432000,88041000__92432000,"10.53842,107.40951__10.81389,106.70927","10.53842,107.40951__10.81389,106.70927",directed_pair_key_by_code,95.3,7.4,,20 min,,0.0898,-87.9,87.9,0.9224,SUSPECT_CHANGED,HIGH
19018,19020,64032000,PGD Mỹ Phước,106.6070371,11.1326431,94234000,PGD Lãnh Binh Thăng,106.6486194,10.7644474,41.19245459114593,TP. Hồ Chí Minh,191,18,"2 hr 52 min
137 km",137.0,2 hr 52 min,part/output_part_191/ket_qua_tu_0_den_99.xlsx,original_output,ok,64032000__94234000,64032000__94234000,"11.13264,106.60704__10.76445,106.64862","10.76445,106.64862__11.13264,106.60704",directed_pair_key_by_code,49.4,137.0,,2 hr 52 min,,3.3259,87.6,87.6,1.7733,SUSPECT_CHANGED,HIGH
20758,20760,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,90835000,PGD Phan Văn Trị,106.6918736,10.8242225,84.60998433833346,TP. Hồ Chí Minh,208,58,"36 min
10.8 km",10.8,36 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__90835000,88041000__90835000,"10.53842,107.40951__10.82422,106.69187","10.53842,107.40951__10.82422,106.69187",directed_pair_key_by_code,98.4,10.8,,36 min,,0.1276,-87.6,87.6,0.8902,SUSPECT_CHANGED,HIGH
19680,19682,88000000,CN Bà Rịa - Vũng Tàu,107.0753056,10.3481944,94230000,PGD Nguyễn Sơn,106.6259453,10.7820436,68.84766043662981,TP. Hồ Chí Minh,197,80,"24 min
19.4 km",19.4,24 min,part/output_part_197/ket_qua_tu_0_den_99.xlsx,original_output,ok,88000000__94230000,88000000__94230000,"10.34819,107.07531__10.78204,106.62595","10.34819,107.07531__10.78204,106.62595",directed_pair_key_by_code,107.0,19.4,,24 min,,0.2818,-87.6,87.6,0.8187,SUSPECT_CHANGED,HIGH
20841,20843,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90032000,PGD Trường Sơn,106.6641996,10.8051895,5.760162718558391,TP. Hồ Chí Minh,209,41,"1 hr 33 min
94.2 km",94.2,1 hr 33 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90032000,90000000__90032000,"10.77051,106.70337__10.80519,106.66420","10.77051,106.70337__10.80519,106.66420",directed_pair_key_by_code,7.0,94.2,,1 hr 33 min,,16.3537,87.2,87.2,12.4571,SUSPECT_CHANGED,HIGH
19710,19712,88030000,PGD Nguyễn An Ninh,107.0898627,10.3656844,88038000,PGD Long Điền,107.2164178,10.4169245,14.96831184684977,TP. Hồ Chí Minh,198,10,"1 hr 51 min
105 km",105.0,1 hr 51 min,part/output_part_198/ket_qua_tu_0_den_99.xlsx,original_output,ok,88030000__88038000,88030000__88038000,"10.36568,107.08986__10.41692,107.21642","10.36568,107.08986__10.41692,107.21642",directed_pair_key_by_code,17.9,105.0,,1 hr 51 min,,7.0148,87.1,87.1,4.8659,SUSPECT_CHANGED,HIGH
19411,19413,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,94000000,CN 10 Thành phố Hồ Chí Minh,106.673082,10.765361,19.60555758861137,TP. Hồ Chí Minh,195,11,"2 hr 8 min
109 km",109.0,2 hr 8 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__94000000,64035000__94000000,"10.92805,106.74228__10.76536,106.67308","10.76536,106.67308__10.92805,106.74228",directed_pair_key_by_code,22.1,109.0,,2 hr 8 min,,5.5596,86.9,86.9,3.9321,SUSPECT_CHANGED,HIGH
19966,19968,88032000,PGD Thắng Nhất,107.1119125,10.3980829,88034000,PGD Bà Rịa,107.1768403,10.4877553,12.24068401177564,TP. Hồ Chí Minh,200,66,"1 hr 50 min
101 km",101.0,1 hr 50 min,part/output_part_200/ket_qua_tu_0_den_99.xlsx,original_output,ok,88032000__88034000,88032000__88034000,"10.39808,107.11191__10.48776,107.17684","10.39808,107.11191__10.48776,107.17684",directed_pair_key_by_code,14.5,101.0,,1 hr 50 min,,8.2512,86.5,86.5,5.9655,SUSPECT_CHANGED,HIGH
19709,19711,88030000,PGD Nguyễn An Ninh,107.0898627,10.3656844,88034000,PGD Bà Rịa,107.1768403,10.4877553,16.57464214978835,TP. Hồ Chí Minh,198,9,"1 hr 53 min
106 km",106.0,1 hr 53 min,part/output_part_198/ket_qua_tu_0_den_99.xlsx,original_output,ok,88030000__88034000,88030000__88034000,"10.36568,107.08986__10.48776,107.17684","10.36568,107.08986__10.48776,107.17684",directed_pair_key_by_code,19.5,106.0,,1 hr 53 min,,6.3953,86.5,86.5,4.4359,SUSPECT_CHANGED,HIGH
19579,19581,88000000,CN Bà Rịa - Vũng Tàu,107.0753056,10.3481944,88034000,PGD Bà Rịa,107.1768403,10.4877553,19.08200706083186,TP. Hồ Chí Minh,196,79,"1 hr 56 min
108 km",108.0,1 hr 56 min,part/output_part_196/ket_qua_tu_0_den_99.xlsx,original_output,ok,88000000__88034000,88000000__88034000,"10.34819,107.07531__10.48776,107.17684","10.34819,107.07531__10.48776,107.17684",directed_pair_key_by_code,21.6,108.0,,1 hr 56 min,,5.6598,86.4,86.4,4.0,SUSPECT_CHANGED,HIGH
19413,19415,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,94031000,PGD Ngô Gia Tự,106.6748391,10.7670545,19.35810776660659,TP. Hồ Chí Minh,195,13,"2 hr 6 min
108 km",108.0,2 hr 6 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__94031000,64035000__94031000,"10.92805,106.74228__10.76705,106.67484","10.76705,106.67484__10.92805,106.74228",directed_pair_key_by_code,22.1,108.0,,2 hr 6 min,,5.5791,85.9,85.9,3.8869,SUSPECT_CHANGED,HIGH
19967,19969,88032000,PGD Thắng Nhất,107.1119125,10.3980829,88038000,PGD Long Điền,107.2164178,10.4169245,11.61973121023384,TP. Hồ Chí Minh,200,67,"1 hr 49 min
100 km",100.0,1 hr 49 min,part/output_part_200/ket_qua_tu_0_den_99.xlsx,original_output,ok,88032000__88038000,88032000__88038000,"10.39808,107.11191__10.41692,107.21642","10.39808,107.11191__10.41692,107.21642",directed_pair_key_by_code,14.4,100.0,,1 hr 49 min,,8.6061,85.6,85.6,5.9444,SUSPECT_CHANGED,HIGH
20067,20069,88032000,PGD Thắng Nhất,107.1119125,10.3980829,94230000,PGD Nguyễn Sơn,106.6259453,10.7820436,68.14838026536894,TP. Hồ Chí Minh,201,67,"19 min
14.4 km",14.4,19 min,part/output_part_201/ket_qua_tu_0_den_99.xlsx,original_output,ok,88032000__94230000,88032000__94230000,"10.39808,107.11191__10.78204,106.62595","10.39808,107.11191__10.78204,106.62595",directed_pair_key_by_code,100.0,14.4,,19 min,,0.2113,-85.6,85.6,0.856,SUSPECT_CHANGED,HIGH
20743,20745,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,90333000,PGD Vạn Phúc,106.7136198,10.8438678,83.27713506499114,TP. Hồ Chí Minh,208,43,"35 min
12.4 km",12.4,35 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__90333000,88041000__90333000,"10.53842,107.40951__10.84387,106.71362","10.53842,107.40951__10.84387,106.71362",directed_pair_key_by_code,97.8,12.4,,35 min,,0.1489,-85.4,85.4,0.8732,SUSPECT_CHANGED,HIGH
20742,20744,88041000,PGD Xuyên Mộc,107.4095097,10.5384199,90332000,PGD Thảo Điền,106.7360342,10.8052701,79.34865429828464,TP. Hồ Chí Minh,208,42,"15 min
5.0 km",5.0,15 min,part/output_part_208/ket_qua_tu_0_den_99.xlsx,original_output,ok,88041000__90332000,88041000__90332000,"10.53842,107.40951__10.80527,106.73603","10.53842,107.40951__10.80527,106.73603",directed_pair_key_by_code,90.3,5.0,,15 min,,0.063,-85.3,85.3,0.9446,SUSPECT_CHANGED,HIGH
