global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
21723,21725,90100000,CN Đông Thành phố Hồ Chí Minh,106.7458566,10.8818676,92400000,CN 7 Thành phố Hồ Chí Minh,106.6991015,10.801716,10.27154538882568,TP. Hồ Chí Minh,218,23,"1 hr 18 min
31.4 km",31.4,1 hr 18 min,part/output_part_218/ket_qua_tu_0_den_99.xlsx,original_output,ok,90100000__92400000,90100000__92400000,"10.88187,106.74586__10.80172,106.69910","10.80172,106.69910__10.88187,106.74586",directed_pair_key_by_code,13.1,31.4,,1 hr 18 min,,3.057,18.3,18.3,1.3969,SUSPECT_CHANGED,HIGH,HIGH,90100000__92400000,batch_02
17059,17061,32234000,PGD Nam Tân,105.7569267,20.9479254,32834000,PGD Xuân Mai,105.5765428,20.8985516,19.52302597360454,TP. Hà Nội,171,59,"14 min
4.3 km",4.3,14 min,part/output_part_171/ket_qua_tu_0_den_99.xlsx,original_output,ok,32234000__32834000,32234000__32834000,"20.94793,105.75693__20.89855,105.57654","20.89855,105.57654__20.94793,105.75693",directed_pair_key_by_code,21.0,4.3,,14 min,,0.2203,-16.7,16.7,0.7952,SUSPECT_CHANGED,HIGH,HIGH,32234000__32834000,batch_02
18004,18006,16632000,PGD An Dương,106.6140362,20.8638067,16932000,PGD Tiên Lãng,106.554502,20.705491,18.66019999881313,TP. Hải Phòng,181,4,"15 min
6.5 km",6.5,15 min,part/output_part_181/ket_qua_tu_0_den_99.xlsx,original_output,ok,16632000__16932000,16632000__16932000,"20.86381,106.61404__20.70549,106.55450","20.70549,106.55450__20.86381,106.61404",directed_pair_key_by_code,21.1,6.5,,15 min,,0.3483,-14.6,14.6,0.6919,SUSPECT_CHANGED,HIGH,HIGH,16632000__16932000,batch_02
19378,19380,64035000,PGD Tân Đông Hiệp,106.7422824,10.9280524,92200000,CN 6 Thành phố Hồ Chí Minh,106.6648231,10.7532743,21.19574342210064,TP. Hồ Chí Minh,194,78,"1 hr 21 min
57.6 km",57.6,1 hr 21 min,part/output_part_194/ket_qua_tu_0_den_99.xlsx,original_output,ok,64035000__92200000,64035000__92200000,"10.92805,106.74228__10.75327,106.66482","10.75327,106.66482__10.92805,106.74228",directed_pair_key_by_code,24.1,57.6,,1 hr 21 min,,2.7175,33.5,33.5,1.39,SUSPECT_CHANGED,HIGH,HIGH,64035000__92200000,batch_02
15926,15928,14600000,CN Tây Hà Nội,105.7733339,21.0376276,32430000,PGD An Khánh,105.7320396,21.0043752,5.660611236651397,TP. Hà Nội,160,26,"8 min
2.2 km",2.2,8 min,part/output_part_160/ket_qua_tu_0_den_99.xlsx,original_output,ok,14600000__32430000,14600000__32430000,"21.03763,105.77333__21.00438,105.73204","21.00438,105.73204__21.03763,105.77333",directed_pair_key_by_code,10.7,2.2,,8 min,,0.3887,-8.5,8.5,0.7944,SUSPECT_CHANGED,HIGH,HIGH,14600000__32430000,batch_02
17614,17616,16231000,PGD Tràng Duệ,106.5730673,20.8573589,34035000,PGD Cẩm Giàng,106.2497133,20.9356847,34.70118290024025,TP. Hải Phòng,177,14,"30 min
15.4 km",15.4,30 min,part/output_part_177/ket_qua_tu_0_den_99.xlsx,original_output,ok,16231000__34035000,16231000__34035000,"20.85736,106.57307__20.93568,106.24971","20.85736,106.57307__20.93568,106.24971",directed_pair_key_by_code,49.6,15.4,,30 min,,0.4438,-34.2,34.2,0.6895,SUSPECT_CHANGED,HIGH,HIGH,16231000__34035000,batch_02
21104,21106,90032000,PGD Trường Sơn,106.6641996,10.8051895,90334000,PGD Vinhomes Tân Cảng,106.7210417,10.7941608,6.328569439629016,TP. Hồ Chí Minh,212,4,"1 hr 1 min
22.4 km",22.4,1 hr 1 min,part/output_part_212/ket_qua_tu_0_den_99.xlsx,original_output,ok,90032000__90334000,90032000__90334000,"10.80519,106.66420__10.79416,106.72104","10.79416,106.72104__10.80519,106.66420",directed_pair_key_by_code,9.4,22.4,,1 hr 1 min,,3.5395,13.0,13.0,1.383,SUSPECT_CHANGED,HIGH,HIGH,90032000__90334000,batch_02
16056,16058,14633000,PGD Hoài Đức,105.7073133,21.0703111,32030000,PGD La Phù,105.7290427,20.9897546,9.237033253612354,TP. Hà Nội,161,56,"43 min
22.6 km",22.6,43 min,part/output_part_161/ket_qua_tu_0_den_99.xlsx,original_output,ok,14633000__32030000,14633000__32030000,"21.07031,105.70731__20.98975,105.72904","20.98975,105.72904__21.07031,105.70731",directed_pair_key_by_code,12.6,22.6,,43 min,,2.4467,10.0,10.0,0.7937,SUSPECT_CHANGED,HIGH,HIGH,14633000__32030000,batch_02
18358,18360,34034000,PGD Tứ Kỳ,106.406648,20.8182694,34038000,PGD Ninh Giang,106.3916714,20.7346741,9.424889715537835,TP. Hải Phòng,184,58,"28 min
21.1 km",21.1,28 min,part/output_part_184/ket_qua_tu_0_den_99.xlsx,original_output,ok,34034000__34038000,34034000__34038000,"20.81827,106.40665__20.73467,106.39167","20.73467,106.39167__20.81827,106.40665",directed_pair_key_by_code,12.5,21.1,,28 min,,2.2388,8.6,8.6,0.688,SUSPECT_CHANGED,HIGH,HIGH,34034000__34038000,batch_02
18605,18607,64000000,CN Bình Dương,106.6670338,10.982933,94231000,PGD Tên Lửa,106.61129,10.75028,26.57640255609247,TP. Hồ Chí Minh,187,5,"2 hr
89.0 km",89.0,2 hr,part/output_part_187/ket_qua_tu_0_den_99.xlsx,original_output,ok,64000000__94231000,64000000__94231000,"10.98293,106.66703__10.75028,106.61129","10.75028,106.61129__10.98293,106.66703",directed_pair_key_by_code,37.6,89.0,,2 hr,,3.3488,51.4,51.4,1.367,SUSPECT_CHANGED,HIGH,HIGH,64000000__94231000,batch_02
15139,15141,14244000,PGD Times City,105.8692155,20.995406,32600000,CN Thăng Long,105.782865,21.015783,9.245611754183887,TP. Hà Nội,152,39,"40 min
24.0 km",24.0,40 min,part/output_part_152/ket_qua_tu_0_den_99.xlsx,original_output,ok,14244000__32600000,14244000__32600000,"20.99541,105.86922__21.01578,105.78287","20.99541,105.86922__21.01578,105.78287",directed_pair_key_by_code,13.4,24.0,,40 min,,2.5958,10.6,10.6,0.791,SUSPECT_CHANGED,HIGH,HIGH,14244000__32600000,batch_02
17208,17210,16000000,CN Hải Phòng,106.6892541,20.8616368,34433000,PGD Hiệp Sơn,106.5277038,21.0109136,23.60105388031471,TP. Hải Phòng,173,8,"24 min
8.8 km",8.8,24 min,part/output_part_173/ket_qua_tu_0_den_99.xlsx,original_output,ok,16000000__34433000,16000000__34433000,"20.86164,106.68925__21.01091,106.52770","20.86164,106.68925__21.01091,106.52770",directed_pair_key_by_code,28.1,8.8,,24 min,,0.3729,-19.3,19.3,0.6868,SUSPECT_CHANGED,HIGH,HIGH,16000000__34433000,batch_02
