global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
22585,22587,90137000,PGD Long Bình,106.8237366,10.8413876,92000000,CN 5 Thành phố Hồ Chí Minh,106.6738508,10.756692,18.88694162957387,TP. Hồ Chí Minh,226,85,"15 min
6.1 km",6.1,15 min,part/output_part_226/ket_qua_tu_0_den_99.xlsx,original_output,ok,90137000__92000000,90137000__92000000,"10.84139,106.82374__10.75669,106.67385","10.75669,106.67385__10.84139,106.82374",directed_pair_key_by_code,25.5,6.1,,15 min,,0.323,-19.4,19.4,0.7608,SUSPECT_CHANGED,HIGH,HIGH,90137000__92000000,batch_03
7565,7567,12230000,PGD Đồng Xuân,105.8501004,21.0378505,32630000,PGD Đại An,105.7936961,20.9845139,8.333874141946161,TP. Hà Nội,76,65,"33 min
15.2 km",15.2,33 min,part/output_part_76/ket_qua_tu_0_den_99.xlsx,original_output,ok,12230000__32630000,12230000__32630000,"21.03785,105.85010__20.98451,105.79370","20.98451,105.79370__21.03785,105.85010",directed_pair_key_by_code,10.4,15.2,,33 min,,1.8239,4.8,4.8,0.4615,SUSPECT_CHANGED,HIGH,HIGH,12230000__32630000,batch_03
21321,21323,90039000,PGD An Đông,106.6728395,10.7574677,90130000,PGD An Phú,106.7423901,10.9494629,22.65978042941979,TP. Hồ Chí Minh,214,21,"24 min
6.0 km",6.0,24 min,part/output_part_214/ket_qua_tu_0_den_99.xlsx,original_output,ok,90039000__90130000,90039000__90130000,"10.75747,106.67284__10.94946,106.74239","10.75747,106.67284__10.94946,106.74239",directed_pair_key_by_code,25.0,6.0,,24 min,,0.2648,-19.0,19.0,0.76,SUSPECT_CHANGED,HIGH,HIGH,90039000__90130000,batch_01
14837,14839,14230000,PGD Chợ Hôm,105.8515865,21.0174588,14630000,PGD Trung Hoà,105.7743892,21.0421264,8.468718623953578,TP. Hà Nội,149,37,"31 min
15.2 km",15.2,31 min,part/output_part_149/ket_qua_tu_0_den_99.xlsx,original_output,ok,14230000__14630000,14230000__14630000,"21.01746,105.85159__21.04213,105.77439","21.01746,105.85159__21.04213,105.77439",directed_pair_key_by_code,10.4,15.2,,31 min,,1.7948,4.8,4.8,0.4615,SUSPECT_CHANGED,HIGH,HIGH,14230000__14630000,batch_01
26460,26462,92330000,PGD Hậu Giang,106.6301338,10.7472151,92631000,PGD Xóm Củi,106.6567989,10.7444752,2.928921450853292,TP. Hồ Chí Minh,265,60,"10 min
4.4 km",4.4,10 min,part/output_part_265/ket_qua_tu_0_den_99.xlsx,original_output,ok,92330000__92631000,92330000__92631000,"10.74722,106.63013__10.74448,106.65680","10.74448,106.65680__10.74722,106.63013",directed_pair_key_by_code,2.5,4.4,,10 min,,1.5023,1.9,1.9,0.76,SUSPECT_CHANGED,HIGH,HIGH,92330000__92631000,batch_02
15568,15570,14438000,PGD Cảng hàng không Nội Bài,105.8059988,21.2113656,32834000,PGD Xuân Mai,105.5765428,20.8985516,42.15260647514426,TP. Hà Nội,156,68,"51 min
32.7 km",32.7,51 min,part/output_part_156/ket_qua_tu_0_den_99.xlsx,original_output,ok,14438000__32834000,14438000__32834000,"21.21137,105.80600__20.89855,105.57654","20.89855,105.57654__21.21137,105.80600",directed_pair_key_by_code,60.7,32.7,,51 min,,0.7758,-28.0,28.0,0.4613,SUSPECT_CHANGED,HIGH,HIGH,14438000__32834000,batch_02
22862,22864,90233000,PGD Sala,106.7243851,10.769637,94830000,PGD Thuận Hưng,106.6060609,10.8567192,16.14863087294571,TP. Hồ Chí Minh,229,62,"16 min
5.0 km",5.0,16 min,part/output_part_229/ket_qua_tu_0_den_99.xlsx,original_output,ok,90233000__94830000,90233000__94830000,"10.76964,106.72439__10.85672,106.60606","10.76964,106.72439__10.85672,106.60606",directed_pair_key_by_code,20.8,5.0,,16 min,,0.3096,-15.8,15.8,0.7596,SUSPECT_CHANGED,HIGH,HIGH,90233000__94830000,batch_03
7935,7937,12241000,PGD Nguyễn Du,105.8493515,21.019215,14630000,PGD Trung Hoà,105.7743892,21.0421264,8.186696080202461,TP. Hà Nội,80,35,"30 min
14.9 km",14.9,30 min,part/output_part_80/ket_qua_tu_0_den_99.xlsx,original_output,ok,12241000__14630000,12241000__14630000,"21.01921,105.84935__21.04213,105.77439","21.01921,105.84935__21.04213,105.77439",directed_pair_key_by_code,10.2,14.9,,30 min,,1.82,4.7,4.7,0.4608,SUSPECT_CHANGED,HIGH,HIGH,12241000__14630000,batch_03
23987,23989,90433000,PGD Nguyễn Văn Lượng,106.6676389,10.8384167,92633000,PGD Bình Đăng,106.6559066,10.7348645,11.58559023849757,TP. Hồ Chí Minh,240,87,"15 min
3.8 km",3.8,15 min,part/output_part_240/ket_qua_tu_0_den_99.xlsx,original_output,ok,90433000__92633000,90433000__92633000,"10.83842,106.66764__10.73486,106.65591","10.73486,106.65591__10.83842,106.66764",directed_pair_key_by_code,15.8,3.8,,15 min,,0.328,-12.0,12.0,0.7595,SUSPECT_CHANGED,HIGH,HIGH,90433000__92633000,batch_01
15761,15763,14533000,PGD Bắc Hà,105.8928539,21.0605622,32032000,PGD Quốc Oai,105.6409498,20.9993218,27.01705970695229,TP. Hà Nội,158,61,"35 min
19.0 km",19.0,35 min,part/output_part_158/ket_qua_tu_0_den_99.xlsx,original_output,ok,14533000__32032000,14533000__32032000,"21.06056,105.89285__20.99932,105.64095","20.99932,105.64095__21.06056,105.89285",directed_pair_key_by_code,35.2,19.0,,35 min,,0.7033,-16.2,16.2,0.4602,SUSPECT_CHANGED,HIGH,HIGH,14533000__32032000,batch_01
23971,23973,90433000,PGD Nguyễn Văn Lượng,106.6676389,10.8384167,92230000,PGD Tháp Mười,106.6510538,10.7501355,9.982189787335743,TP. Hồ Chí Minh,240,71,"14 min
3.4 km",3.4,14 min,part/output_part_240/ket_qua_tu_0_den_99.xlsx,original_output,ok,90433000__92230000,90433000__92230000,"10.83842,106.66764__10.75014,106.65105","10.75014,106.65105__10.83842,106.66764",directed_pair_key_by_code,14.1,3.4,,14 min,,0.3406,-10.7,10.7,0.7589,SUSPECT_CHANGED,HIGH,HIGH,90433000__92230000,batch_02
16979,16981,32230000,PGD số 01,105.6770079,21.0815254,32400000,CN Quang Trung,105.7853611,20.9787911,16.03015722896562,TP. Hà Nội,170,79,"21 min
10.8 km",10.8,21 min,part/output_part_170/ket_qua_tu_0_den_99.xlsx,original_output,ok,32230000__32400000,32230000__32400000,"21.08153,105.67701__20.97879,105.78536","20.97879,105.78536__21.08153,105.67701",directed_pair_key_by_code,20.0,10.8,,21 min,,0.6737,-9.2,9.2,0.46,SUSPECT_CHANGED,HIGH,HIGH,32230000__32400000,batch_02
21696,21698,90100000,CN Đông Thành phố Hồ Chí Minh,106.7458566,10.8818676,90831000,PGD Bến Vân Đồn,106.6936118,10.7582238,14.88566059608459,TP. Hồ Chí Minh,217,96,"27 min
5.7 km",5.7,27 min,part/output_part_217/ket_qua_tu_0_den_99.xlsx,original_output,ok,90100000__90831000,90100000__90831000,"10.88187,106.74586__10.75822,106.69361","10.75822,106.69361__10.88187,106.74586",directed_pair_key_by_code,23.5,5.7,,27 min,,0.3829,-17.8,17.8,0.7574,SUSPECT_CHANGED,HIGH,HIGH,90100000__90831000,batch_03
17025,17027,32232000,PGD Nhuệ Giang,105.7568642,20.9719329,32830000,PGD Trung Chính,105.8008666,21.0094211,6.184210219874596,TP. Hà Nội,171,25,"42 min
10.8 km",10.8,42 min,part/output_part_171/ket_qua_tu_0_den_99.xlsx,original_output,ok,32232000__32830000,32232000__32830000,"20.97193,105.75686__21.00942,105.80087","20.97193,105.75686__21.00942,105.80087",directed_pair_key_by_code,7.4,10.8,,42 min,,1.7464,3.4,3.4,0.4595,SUSPECT_CHANGED,HIGH,HIGH,32232000__32830000,batch_03
19498,19500,64036000,PGD Bàu Bàng,106.6362417,11.2429544,91032000,PGD Hùynh Tấn Phát,106.7368263,10.7145422,59.77391756706832,TP. Hồ Chí Minh,195,98,"27 min
16.6 km",16.6,27 min,part/output_part_195/ket_qua_tu_0_den_99.xlsx,original_output,ok,64036000__91032000,64036000__91032000,"11.24295,106.63624__10.71454,106.73683","10.71454,106.73683__11.24295,106.63624",directed_pair_key_by_code,68.4,16.6,,27 min,,0.2777,-51.8,51.8,0.7573,SUSPECT_CHANGED,HIGH,HIGH,64036000__91032000,batch_01
12304,12306,12842000,PGD Việt Hưng,105.9080451,21.0610137,32600000,CN Thăng Long,105.782865,21.015783,13.93109372819576,TP. Hà Nội,124,4,"53 min
30.5 km",30.5,53 min,part/output_part_902/ket_qua_tu_0_den_99.xlsx,retry_output,ok,12842000__32600000,12842000__32600000,"21.06101,105.90805__21.01578,105.78287","21.01578,105.78287__21.06101,105.90805",directed_pair_key_by_code,20.9,30.5,,53 min,,2.1893,9.6,9.6,0.4593,SUSPECT_CHANGED,HIGH,HIGH,12842000__32600000,batch_01
