global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
20855,20857,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90200000,CN 1 Thành phố Hồ Chí Minh,106.701474,10.7706429,0.2080375789648704,TP. Hồ Chí Minh,209,55,"1 hr 47 min
97.8 km",97.8,1 hr 47 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90200000,90000000__90200000,"10.77051,106.70337__10.77064,106.70147","10.77051,106.70337__10.77064,106.70147",directed_pair_key_by_code,0.55,97.8,,1 hr 47 min,,470.1074,97.25,97.25,176.8182,SUSPECT_CHANGED,HIGH,HIGH,90000000__90200000,batch_01
17082,17084,32430000,PGD An Khánh,105.7320396,21.0043752,32800000,CN Tây Thăng Long,105.7328363,21.0059239,0.1910371427700498,TP. Hà Nội,171,82,"46 min
19.6 km",19.6,46 min,part/output_part_171/ket_qua_tu_0_den_99.xlsx,original_output,ok,32430000__32800000,32430000__32800000,"21.00438,105.73204__21.00592,105.73284","21.00438,105.73204__21.00592,105.73284",directed_pair_key_by_code,0.25,19.6,,46 min,,102.5978,19.35,19.35,77.4,SUSPECT_CHANGED,HIGH,HIGH,32430000__32800000,batch_01
2807,2809,38034000,PGD Nghĩa Hưng,106.1848763,20.2147832,40032000,PGD Yên Khánh,106.0655142,20.1880888,12.80480303108354,Ninh Bình,29,7,"27 min
19.4 km",19.4,27 min,part/output_part_29/ket_qua_tu_0_den_99.xlsx,original_output,ok,38034000__40032000,38034000__40032000,"20.21478,106.18488__20.18809,106.06551","20.18809,106.06551__20.21478,106.18488",directed_pair_key_by_code,43.8,19.4,,27 min,,1.5151,-24.4,24.4,0.5571,SUSPECT_CHANGED,HIGH,HIGH,38034000__40032000,batch_01
1635,1637,36034000,PGD Tiền Hải,106.506623,20.4040798,36038000,PGD Tiểu Hoàng,106.5021322,20.4024302,0.5026871342191187,Hưng Yên,17,35,"2 min
900 m",0.9,2 min,part/output_part_17/ket_qua_tu_0_den_99.xlsx,original_output,ok,36034000__36038000,36034000__36038000,"20.40408,106.50662__20.40243,106.50213","20.40243,106.50213__20.40408,106.50662",directed_pair_key_by_code,0.6,0.9,,2 min,,1.7904,0.3,0.3,0.5,SUSPECT_CHANGED,HIGH,HIGH,36034000__36038000,batch_01
29732,29734,70035000,PGD Châu Thị Kim,106.4179461,10.5328321,70432000,PGD Cần Đước,106.6053967,10.5035802,20.74987144671155,Tây Ninh,298,32,"45 min
30.0 km",30.0,45 min,part/output_part_298/ket_qua_tu_0_den_99.xlsx,original_output,ok,70035000__70432000,70035000__70432000,"10.53283,106.41795__10.50358,106.60540","10.50358,106.60540__10.53283,106.41795",directed_pair_key_by_code,38.8,30.0,,45 min,,1.4458,-8.8,8.8,0.2268,WATCH_CHANGED,MEDIUM,MEDIUM,70035000__70432000,batch_01
2182,2184,20032000,PGD Lộc Bình,106.9231844,21.758408,20037000,PGD Kỳ Lừa,106.7562179,21.8585721,20.52236352924461,Lạng Sơn,22,82,"38 min
33.8 km",33.8,38 min,part/output_part_22/ket_qua_tu_0_den_99.xlsx,original_output,ok,20032000__20037000,20032000__20037000,"21.75841,106.92318__21.85857,106.75622","21.75841,106.92318__21.85857,106.75622",directed_pair_key_by_code,22.4,33.8,,38 min,,1.647,11.4,11.4,0.5089,SUSPECT_CHANGED,HIGH,HIGH,20032000__20037000,batch_01
30393,30395,68131000,PGD Đại Phước,106.8143862,10.7373096,68231000,PGD An Bình,106.8612402,10.9227713,21.24781524872765,Đồng Nai,304,93,"57 min
43.8 km",43.8,57 min,part/output_part_304/ket_qua_tu_0_den_99.xlsx,original_output,ok,68131000__68231000,68131000__68231000,"10.73731,106.81439__10.92277,106.86124","10.73731,106.81439__10.92277,106.86124",directed_pair_key_by_code,30.3,43.8,,57 min,,2.0614,13.5,13.5,0.4455,SUSPECT_CHANGED,HIGH,HIGH,68131000__68231000,batch_01
1278,1280,46031000,PGD Phạm Văn Đồng,107.6011432,16.4808936,46234000,PGD An Vân Dương,107.6108102,16.458921,2.651797654160921,Huế,13,78,"7 min
4.4 km",4.4,7 min,part/output_part_13/ket_qua_tu_0_den_99.xlsx,original_output,ok,46031000__46234000,46031000__46234000,"16.48089,107.60114__16.45892,107.61081","16.45892,107.61081__16.48089,107.60114",directed_pair_key_by_code,3.6,4.4,,7 min,,1.6593,0.8,0.8,0.2222,WATCH_CHANGED,MEDIUM,MEDIUM,46031000__46234000,batch_01
5633,5635,82132000,PGD Long Mỹ,105.5729989,9.6812997,82434000,PGD Nguyễn Văn Cừ,105.7537747,10.0319998,43.73695532582689,TP. Cần Thơ,57,33,"1 hr 10 min
58.7 km",58.7,1 hr 10 min,part/output_part_57/ket_qua_tu_0_den_99.xlsx,original_output,ok,82132000__82434000,82132000__82434000,"9.68130,105.57300__10.03200,105.75377","10.03200,105.75377__9.68130,105.57300",directed_pair_key_by_code,49.9,58.7,,1 hr 10 min,,1.3421,8.8,8.8,0.1764,WATCH_CHANGED,MEDIUM,MEDIUM,82132000__82434000,batch_01
5424,5426,47032000,PGD Ba Đồn,106.4232377,17.7569954,47033000,PGD Lệ Thủy,106.7938462,17.221744,71.3243697601164,Quảng Trị,55,24,"1 hr 29 min
101 km",101.0,1 hr 29 min,part/output_part_55/ket_qua_tu_0_den_99.xlsx,original_output,ok,47032000__47033000,47032000__47033000,"17.75700,106.42324__17.22174,106.79385","17.22174,106.79385__17.75700,106.42324",directed_pair_key_by_code,81.2,101.0,,1 hr 29 min,,1.4161,19.8,19.8,0.2438,WATCH_CHANGED,MEDIUM,MEDIUM,47032000__47033000,batch_01
