batch_file,rows,high_rows,medium_rows,top_1_tinh_thanh,top_1_tinh_thanh_rows,output_dir,shell_script,log_file
debug_outputs/recrawl_all_suspects_20260504_vs_20260312/recrawl_batch_01.csv,2995,2066,929,TP. Hồ Chí Minh,1457,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/output_batch_01,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/run_recrawl_batch_01.sh,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/logs/recrawl_batch_01.log
debug_outputs/recrawl_all_suspects_20260504_vs_20260312/recrawl_batch_02.csv,2995,2067,928,TP. Hồ Chí Minh,1457,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/output_batch_02,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/run_recrawl_batch_02.sh,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/logs/recrawl_batch_02.log
debug_outputs/recrawl_all_suspects_20260504_vs_20260312/recrawl_batch_03.csv,2995,2069,926,TP. Hồ Chí Minh,1457,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/output_batch_03,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/run_recrawl_batch_03.sh,debug_outputs/recrawl_all_suspects_20260504_vs_20260312/logs/recrawl_batch_03.log
