global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,old_kinh_do_1,old_vi_do_1,old_kinh_do_2,old_vi_do_2,coord_update_note
4021,4023,24435000,PGD Hạ Hòa,105.0054858,21.557987,24832000,PGD Phong Châu,105.292801,21.339281,37.33822804332974,Phú Thọ,41,21,"55 min
53.3 km",53.3,55 min,part/output_part_41/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.0054858,21.557987,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4054,4056,24436000,PGD Cẩm Khê,105.1274649,21.4212619,24832000,PGD Phong Châu,105.292801,21.339281,18.35131963428404,Phú Thọ,41,54,"36 min
30.2 km",30.2,36 min,part/output_part_41/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.1274649,21.4212619,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4086,4088,24600000,CN Vĩnh Phúc,105.5938839,21.3074726,24832000,PGD Phong Châu,105.292801,21.339281,32.27034926766184,Phú Thọ,41,86,"52 min
43.9 km",43.9,52 min,part/output_part_41/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.5938839,21.3074726,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4117,4119,24630000,PGD Thăng Long Vĩnh Phúc,105.6672576,21.3134648,24832000,PGD Phong Châu,105.292801,21.339281,39.75021624413117,Phú Thọ,42,17,"57 min
54.8 km",54.8,57 min,part/output_part_42/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.6672576,21.3134648,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4147,4149,24631000,PGD Bắc Vĩnh Yên,105.5774639,21.3067637,24832000,PGD Phong Châu,105.292801,21.339281,30.59636396058307,Phú Thọ,42,47,"56 min
46.6 km",46.6,56 min,part/output_part_42/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.5774639,21.3067637,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4176,4178,24632000,PGD Vĩnh Tường,105.4892082,21.2642599,24832000,PGD Phong Châu,105.292801,21.339281,23.00820411476116,Phú Thọ,42,76,"47 min
28.8 km",28.8,47 min,part/output_part_42/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.4892082,21.2642599,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4204,4206,24633000,PGD Nam Vĩnh Yên,105.6224034,21.3040709,24832000,PGD Phong Châu,105.292801,21.339281,35.24890464247445,Phú Thọ,43,4,"55 min
46.0 km",46.0,55 min,part/output_part_43/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.6224034,21.3040709,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4231,4233,24634000,PGD Tam Đảo,105.6106862,21.3886685,24832000,PGD Phong Châu,105.292801,21.339281,34.05588714488503,Phú Thọ,43,31,"49 min
41.7 km",41.7,49 min,part/output_part_43/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.6106862,21.3886685,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4257,4259,24635000,PGD Tam Dương,105.5409693,21.380109,24832000,PGD Phong Châu,105.292801,21.339281,26.77528387536902,Phú Thọ,43,57,"49 min
37.2 km",37.2,49 min,part/output_part_43/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.5409693,21.380109,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4282,4284,24636000,PGD Bắc Yên Lạc,105.5431793,21.2581699,24832000,PGD Phong Châu,105.292801,21.339281,28.45869215505325,Phú Thọ,43,82,"55 min
36.5 km",36.5,55 min,part/output_part_43/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.5431793,21.2581699,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
4306,4308,24800000,CN Bắc Phú Thọ,105.3452867,21.3674783,24832000,PGD Phong Châu,105.292801,21.339281,6.689531421705668,Phú Thọ,44,6,"16 min
9.0 km",9.0,16 min,part/output_part_44/ket_qua_tu_0_den_99.xlsx,original_output,ok,105.3452867,21.3674783,105.285056,21.345738,updated point 2 PGD Phong Chau 24832000
