ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh
74000000,CN An Giang,105.4434611,10.3785683,74030000,PGD Long Xuyên,105.44075,10.3836111,0.6343115339452015,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74031000,PGD Thoại Sơn,105.2696884,10.2680965,22.63338215203785,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74032000,PGD Chợ Mới,105.4022986,10.5493152,19.512429030844974,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74033000,PGD Châu Thành,105.3770658,10.4448318,10.344855329223346,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74034000,PGD Châu Phú,105.241432,10.569769,30.65931425525983,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74035000,PGD Phú Tân,105.3579385,10.582915,24.571259896682278,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74036000,PGD Tri Tôn,105.0030916,10.4094099,48.28533060530989,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74037000,PGD Phú Hòa,105.3746042,10.3582537,7.862976626501979,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74200000,CN Châu Đốc,105.1179489,10.7098307,51.21549859978624,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74230000,PGD An Phú,105.0899719,10.8164481,62.15659870527668,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74231000,PGD Nam Châu Đốc,105.2105983,10.6153497,36.6253466910538,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74232000,PGD Tịnh Biên,105.0038634,10.6226913,55.198408284552556,An Giang
74000000,CN An Giang,105.4434611,10.3785683,74233000,PGD Tân Châu,105.2448768,10.7992497,51.568233903981515,An Giang
74000000,CN An Giang,105.4434611,10.3785683,84000000,CN Kiên Giang,105.0875773,9.9924968,57.964895715467016,An Giang
74000000,CN An Giang,105.4434611,10.3785683,84030000,PGD Rạch Giá,105.0839699,10.0089592,56.89414205365983,An Giang
74000000,CN An Giang,105.4434611,10.3785683,84031000,PGD Rạch Sỏi,105.1213263,9.9547234,58.85799301270027,An Giang
74000000,CN An Giang,105.4434611,10.3785683,84032000,PGD Tân Hiệp,105.2806967,10.1125834,34.52460123120167,An Giang
74000000,CN An Giang,105.4434611,10.3785683,84033000,PGD Giồng Riềng,105.3174382,9.9095194,53.94920170002956,An Giang
74000000,CN An Giang,105.4434611,10.3785683,84034000,PGD Kiên Lương,104.6285444,10.2762592,89.86962355833123,An Giang
74000000,CN An Giang,105.4434611,10.3785683,84036000,PGD Hòn Đất,104.9376999,10.180722,59.54819584897723,An Giang
